"Cluster","PRS","Mean","D"
1,"AAM",-0.0399530723682115,-0.0450001418699302
1,"AMD",-0.00673227265605473,-0.0060470710363719
1,"AD",-0.0581878293840361,-0.105404252788363
1,"AST",0.250818224151562,0.299928046462854
1,"AF",0.122940067162985,0.0735179439078832
1,"BD",0.0546112987729522,0.093837738051357
1,"BMI",0.320399082094913,0.320822428590485
1,"CRC",-0.0516603019119319,-0.0482269232282623
1,"BC",-0.03118193068956,-0.0102268307222689
1,"CVD",0.399094995850972,-0.0201913175526004
1,"CED",0.0329595231574319,0.0355238797705252
1,"CAD",0.382784174974108,-0.0868291437354647
1,"CD",0.0247972362008168,0.0127328459090862
1,"EOC",0.0335776548246597,0.0493266002599807
1,"EBMDT",-0.0440251910297235,-0.0647949909941626
1,"HBA1C_DF",0.0675899075812074,0.0161768901731546
1,"HEIGHT",-0.0738405668742471,-0.0423100598961411
1,"HDL",-0.0859481069148567,0.00981710403199053
1,"HT",0.481507208536045,0.380248412604037
1,"IOP",0.0332168443371984,0.0195416428155239
1,"ISS",0.436757655043104,0.292869897453674
1,"LDL_SF",0.0237306296298911,-0.133728170345968
1,"MEL",-0.00808103756886559,-0.00988996125005722
1,"MS",-0.0438279548516624,-0.0598559196461299
1,"OP",0.039753885331284,0.0582319660082894
1,"PD",-0.0570569389074678,-0.0392284327486569
1,"POAG",0.00270992698806673,0.00115342969099141
1,"PC",-0.0250313674188146,-0.0123348124633733
1,"PSO",0.036414496945727,0.0236728563260344
1,"RA",0.143304768095881,0.170321108512164
1,"SCZ",0.0452283213885354,0.0770029465497559
1,"SLE",0.0138211796803841,0.0117202632506333
1,"T1D",0.100981361860939,0.108449388199971
1,"T2D",0.278251125894478,0.188300623902794
1,"UC",-0.023379021035589,-0.0516680530394406
1,"VTE",0.0826354697245041,0.0631992099249599
2,"AAM",0.0165440045296689,0.0402548493155011
2,"AMD",0.0183740472350983,0.0356750820650983
2,"AD",0.000471963270996505,-0.0307284429565572
2,"AST",-0.0623121952770469,-0.173064888077537
2,"AF",-0.01109389145852,-0.140568124567367
2,"BD",-0.0334516191942393,-0.0349631119340595
2,"BMI",-0.112658483652371,-0.350665272604098
2,"CRC",0.0716535493247609,0.149881206311744
2,"BC",0.00420146501333978,0.0479684552560751
2,"CVD",-0.0441385363024576,-0.850779111518753
2,"CED",-0.0025437403614221,-0.0171415709956804
2,"CAD",-0.0364375639079907,-0.897915211609627
2,"CD",0.00906656760828869,-0.0114107231135157
2,"EOC",-0.0266717280635683,-0.0419804803991476
2,"EBMDT",0.0195959150462958,0.0283894075135521
2,"HBA1C_DF",-0.014523260809262,-0.1205153632157
2,"HEIGHT",0.0537496007961729,0.169350055456673
2,"HDL",0.0149522992265735,0.187159816178063
2,"HT",-0.148628244051094,-0.655379908608506
2,"IOP",0.0102183488402801,-0.0152905997195927
2,"ISS",-0.107575483770566,-0.604312774293776
2,"LDL_SF",-0.064752433498601,-0.32163479581789
2,"MEL",0.0344798159137217,0.0610557485290779
2,"MS",0.0381781259570034,0.0665541121217948
2,"OP",-0.00793771175094202,-0.010322353444254
2,"PD",0.010920497480967,0.0692121119916959
2,"POAG",-0.0037095731021163,-0.00947994244283705
2,"PC",0.0270699276283112,0.0740886532120343
2,"PSO",-0.0146016879386111,-0.0583724762905021
2,"RA",-0.0417386073913768,-0.107057801243066
2,"SCZ",-0.00897467223604222,0.0031278594252462
2,"SLE",0.0194684952258372,0.0241440349774035
2,"T1D",-0.0343476034783523,-0.0964507706496478
2,"T2D",-0.0882827592803076,-0.406702197773042
2,"UC",0.0376183369751833,0.0414194944091483
2,"VTE",-0.00511958582901661,-0.0730244605464224
3,"AAM",-0.00956589991423913,-0.00335084659459874
3,"AMD",-0.0268395710593448,-0.0352199278616012
3,"AD",0.114399664981292,0.13592790023993
3,"AST",-0.0211936788783818,-0.085304474541918
3,"AF",0.133382080324267,0.0911452196273825
3,"BD",-0.0473286800190489,-0.0492219935030987
3,"BMI",0.156388362603062,0.0943708030199196
3,"CRC",-0.105086273795906,-0.125975165803511
3,"BC",-0.0554065519823765,-0.0453553103433696
3,"CVD",1.0542162815835,1.01619750646476
3,"CED",-0.00240019016685599,-0.0141663907899586
3,"CAD",1.16398162100262,1.16372360847177
3,"CD",0.0163591130578362,0.00097183961408934
3,"EOC",-0.00122442185874247,0.00121072704468968
3,"EBMDT",0.0233277671672703,0.0291297511424675
3,"HBA1C_DF",0.141646381023831,0.122988731547967
3,"HEIGHT",-0.14947429169673,-0.153946209596806
3,"HDL",-0.247273972077674,-0.224660465883807
3,"HT",0.461830983344791,0.364184819922248
3,"IOP",0.0184070285271771,-0.0010609446028472
3,"ISS",0.497921237737923,0.39494320978895
3,"LDL_SF",0.458312034944053,0.505321656595006
3,"MEL",-0.0430578139347416,-0.0607094410550049
3,"MS",-0.0142099118827781,-0.0193845857602474
3,"OP",-0.0321643145276632,-0.0436405206486723
3,"PD",-0.0581053253876473,-0.0420886074630868
3,"POAG",0.00874822752386391,0.00979168481562305
3,"PC",-0.0671843747294676,-0.0733451540788698
3,"PSO",0.0503079337607558,0.0444790179771663
3,"RA",-0.00645333776570978,-0.039067579246436
3,"SCZ",-0.0650196002895211,-0.0770008940706827
3,"SLE",-0.0216535360502477,-0.0389147724008792
3,"T1D",0.0275683503504069,0.00742735422545888
3,"T2D",0.337378389516135,0.281604343592731
3,"UC",0.0147394530662708,0.00166363217172095
3,"VTE",0.053706406376004,0.0236222615362868
