"Cluster","Signature","Mean","D"
1,0,0.0296969762162808,-0.129892453507904
1,1,0.0763521979853087,0.167726874966747
1,2,0.0655233470733146,-0.0427757360427444
1,3,0.138646072703188,-0.370457153567384
1,4,0.0116461040008245,-0.048288312217781
1,5,0.0759869417922409,-0.398753751294567
1,6,0.00917412060072373,-0.0927015769832574
1,7,0.164236541271196,1.84038152816912
1,8,0.0812037799475958,-0.157975969773485
1,9,0.0294691128278797,0.082550392786934
1,10,0.0234009635384297,-0.0730672142758716
1,11,0.00782777537816938,-0.0119853349528276
1,12,0.00793916699665619,-0.098420721481695
1,13,0.0213648416375182,-0.12228778087462
1,14,0.0232987223125385,-0.0240437197860209
1,15,0.014598725834535,0.163553333939621
1,16,0.0767157142348226,-0.27174436691546
1,17,0.0788780921249172,-0.199648078834769
1,18,0.0159194462610035,0.011875767702125
1,19,0.0425824164991078,-0.13200205040386
1,20,0.0055389406169922,-0.15588421985469
2,0,0.0325043948050525,0.253607238948919
2,1,0.0768838782812213,0.271939984804199
2,2,0.0689150159670523,0.31814686874823
2,3,0.151018567287011,0.845803750400502
2,4,0.0120668399620545,0.459476214302265
2,5,0.061003940389085,-1.45263467865963
2,6,0.00987371576096128,0.450653175249874
2,7,0.128582973453748,-1.05515301808525
2,8,0.0858750670834012,0.53650950758441
2,9,0.0298207338800954,0.205094205910281
2,10,0.0248093073666549,0.259237789178899
2,11,0.00802744279060694,0.174499814624426
2,12,0.00830293792868067,0.596626448323773
2,13,0.0229099915307869,0.481129603053097
2,14,0.0244960853563456,0.293606244061308
2,15,0.0135968436721918,-0.203735511021653
2,16,0.0868592163471706,0.577572967521201
2,17,0.0868024392280825,0.588200269686288
2,18,0.0164916024155453,0.462177123043043
2,19,0.0453031489131501,0.536492697849594
2,20,0.00585585778895501,0.721894543227293
3,0,0.0294415007085389,-0.165982659810683
3,1,0.0699162762598777,-0.480399990280553
3,2,0.062480712461185,-0.323860530756552
3,3,0.136601427414063,-0.566866682932492
3,4,0.0112320742533807,-0.480109576415032
3,5,0.130773252979515,2.86052126815377
3,6,0.00869030057137013,-0.425023230016914
3,7,0.136626179130905,-0.279158213170561
3,8,0.07899480814275,-0.455345990249695
3,9,0.0278363354622045,-0.31636476064208
3,10,0.0226739327872449,-0.227041606756207
3,11,0.00760570580248056,-0.189025185938678
3,12,0.00765009718117876,-0.583839772738788
3,13,0.020485749029699,-0.429585860067183
3,14,0.0220231334088629,-0.314146556626472
3,15,0.0143287003998524,0.0774545321772983
3,16,0.0753249110964696,-0.387049986162983
3,17,0.075917038936688,-0.470094045574679
3,18,0.0150722360148354,-0.545425041354852
3,19,0.0409914318029296,-0.481663334513032
3,20,0.00533419607942303,-0.661805733317468
